#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
490905000,-233457.43861541082,65126.900046088034,-168330.5385693228,296.05282505008825,302.5959272481424,230
490910000,-232636.88038028032,65457.06107273954,-167179.81930754078,297.5536657870563,303.0545793830387,230
490915000,-233341.92369427695,65182.47498882096,-168159.448705456,296.305456739704,303.2735318911967,230
490920000,-233574.6953857618,65599.69677627215,-167974.99860948964,298.20205689662777,303.6090787674971,230
490925000,-232744.0395074254,65825.67872545961,-166918.36078196578,299.22932204236525,302.6557038159903,230
490930000,-234384.26341178804,66267.1984400975,-168117.06497169053,301.23637532973737,302.37898191790964,230
490935000,-233457.97847811598,65278.39188006462,-168179.58659805136,296.74147421639356,302.3281399418758,230
490940000,-232863.69464828935,65114.722729973204,-167748.97191831615,295.99746960042347,302.70737426282557,230
490945000,-233760.60873165797,66054.13328823767,-167706.4754434203,300.2678271555852,301.48886083352295,230
490950000,-233115.78422298096,65414.13618654711,-167701.64803643385,297.35853852300363,300.35218436867285,230
490955000,-233830.60660570837,65768.990915281,-168061.61569042737,298.97163149763793,302.0103598452241,230
490960000,-234410.82215495897,65212.137972559256,-169198.6841823997,296.44029825878323,301.4942981360725,230
490965000,-233423.5822707645,65520.34972262825,-167903.23254813626,297.84136232381604,302.83666204877443,230
490970000,-234377.76203946956,65470.55753881717,-168907.20450065238,297.6150178076138,301.83810574120025,230
490975000,-233966.12784311944,65253.99709163769,-168712.13075148175,296.63058077566194,301.4860199006803,230
490980000,-233687.27469467674,66417.76765836377,-167269.50703631298,301.9208304842398,303.1080128277576,230
490985000,-233889.80669509387,65735.96816219273,-168153.83853290114,298.8215171925536,302.5595314543353,230
490990000,-234073.6128740108,65364.99414609838,-168708.61872791243,297.1351494181441,302.30805165474277,230
490995000,-233294.45219694776,66405.25012748362,-166889.20206946414,301.863928491713,302.48162727846943,230
491000000,-233892.34792519198,65496.251385845826,-168396.09653934615,297.7318164882489,302.90932366326723,230
491005000,-233351.5498427821,65104.88975213468,-168246.6600906474,295.9527710063603,302.95405937829247,230
491010000,-233348.51098155254,66112.30236732867,-167236.20861422387,300.5322512289445,302.6974341406886,230
491015000,-233476.6999502948,65612.52056314898,-167864.17938714582,298.2603510627871,304.2125890501154,230
491020000,-233180.4720873679,65984.2492851541,-167196.2228022138,299.95014956730665,302.3851613343242,230
491025000,-234160.41594578465,66794.16268903535,-167366.2532567493,303.63184102038207,301.0350834379721,230
491030000,-233627.3215780172,65614.95439885542,-168012.36717916178,298.27141475438134,301.903747331474,230
491035000,-234236.9153586561,64654.76518655245,-169582.15017210363,293.9066019246021,301.66636272420857,230
491040000,-233136.80213399418,65446.45044478006,-167690.35168921412,297.5054321634578,304.4621909935812,230
491045000,-234290.06220029667,65542.63669096911,-168747.42550932756,297.9426740695685,300.7728033848723,230
491050000,-232752.37343363557,65140.91450194284,-167611.45893169273,296.11653174032557,303.01807713375,230
491055000,-233180.35723217926,64692.57054565754,-168487.78668652172,294.0784569239522,302.6830120251709,230
491060000,-234173.07401032327,65544.73281782353,-168628.34119249973,297.9522026096414,300.9561013383547,230
491065000,-233376.42348254402,65850.99430233386,-167525.42918021017,299.3444011885566,302.97302730207275,230
491070000,-233313.79581906786,65925.98660217214,-167387.80921689572,299.6852999908705,303.6693255109325,230
491075000,-233658.9743458226,66057.52466303227,-167601.44968279032,300.2832436131171,301.62038402985024,230
491080000,-232025.69744105684,65351.70702439966,-166673.99041665718,297.0747490319303,305.1999392540357,230
491085000,-233753.48451104923,65590.3161493739,-168163.16836167534,298.159414592265,301.5073276236002,230
491090000,-233838.78354212106,65378.528904165956,-168460.2546379551,297.1966755058197,302.09586613348097,230
491095000,-234246.2387187623,66060.08240790741,-168186.1563108549,300.2948705690371,302.4761625181334,230
491100000,-233276.35938408645,65906.63535884279,-167369.72402524366,299.5973334171224,303.69744439510566,230
491105000,-234307.35328012658,65021.223024917854,-169286.13025520873,295.5724401302138,301.7872705606321,230
491110000,-233804.63782881806,65602.12631856924,-168202.51151024882,298.2131010713102,301.42880289302866,230
491115000,-233772.41929753614,65725.73821392516,-168046.68108361098,298.77501405663605,302.07560581741313,230
491120000,-233855.6695708637,65553.79657534059,-168301.87299552312,297.99340449421743,302.7486019256645,230
491125000,-234546.44267932745,65422.04591365275,-169124.3967656747,297.394494434514,300.69803794042605,230
491130000,-233559.72656651214,65531.6416818595,-168028.08488465264,297.8926931322592,301.47134544818874,230
491135000,-233260.65397279873,65951.51124453524,-167309.14272826348,299.8013295036316,300.70376171204623,230
491140000,-233909.51155035757,64800.41634875117,-169109.0952016064,294.5687006581553,301.18772233828696,230
491145000,-234018.99051803164,64937.15001094807,-169081.84050708357,295.19026236221595,302.9254416295408,230
491150000,-233533.58712375397,65940.92514412328,-167592.6619796307,299.75320737696796,302.573690375404,230
491155000,-234009.70341507508,64718.495306746685,-169291.2081083284,294.1963052900461,301.5119507438214,230
491160000,-233241.70866592438,66052.78108040415,-167188.92758552023,300.2616803107502,302.76147936514093,230
491165000,-233045.691650684,64890.57076750754,-168155.12088317645,294.97852317918245,302.4458014043099,230
491170000,-234110.08077424392,65731.84926632838,-168378.23150791554,298.80279358132896,302.200791597733,230
491175000,-234190.00700457138,65443.92915280117,-168746.0778517702,297.493970914533,301.5411548857741,230
491180000,-233547.97988158,66420.89256119065,-167127.08732038934,301.9350356177446,302.440082273888,230
491185000,-234036.89254208724,65609.4635177569,-168427.42902433034,298.2464543945288,301.6697584891314,230
491190000,-234018.77740548318,65748.47774520796,-168270.29966027522,298.87838305580266,301.5195347809652,230
491195000,-233849.39371235366,66294.89259024977,-167554.5011221039,301.362266956456,300.48362187899676,230
491200000,-233657.5619787085,66190.50240860728,-167467.0595701012,300.8877317312129,301.2729872345803,230
491205000,-233673.81619611778,65627.51252866082,-168046.30366745696,298.32850130085603,302.6142601389555,230
491210000,-234060.45772408112,65724.52721588378,-168335.93050819734,298.7695091210253,301.660057727249,230
491215000,-233977.52694481844,65770.19714760646,-168207.32979721198,298.97711476933307,301.6497565792439,230
491220000,-233855.15942846565,65819.68128290496,-168035.4781455607,299.2020589635127,302.2450588096023,230
491225000,-233305.12521328568,65878.3059309748,-167426.81928231087,299.4685539550809,302.6428651932255,230
491230000,-233334.376384374,65621.20904496498,-167713.167339409,298.2998470250578,303.01763403987036,230
491235000,-233361.17677264148,65079.79848132125,-168281.37829132023,295.8387115070881,302.1118024599617,230
491240000,-233057.3899692851,65454.070686918916,-167603.3192823662,297.54007213881636,303.86261356328566,230
491245000,-234021.5208427601,64910.919189509994,-169110.6016532501,295.07102271186216,302.6210525911525,230
491250000,-233756.09511600225,66055.7688048722,-167700.32631113005,300.27526186105604,302.049370477584,230
491255000,-234017.15102604986,65936.30006267322,-168080.85096337664,299.73218275536914,301.70570774405115,230
491260000,-233200.02323658648,65074.53747335286,-168125.48576323362,295.8147961008496,303.7858834841637,230
491265000,-232216.14628454903,65400.822288491065,-166815.32399605797,297.2980164172512,305.7036483536414,230
491270000,-231826.8776463475,65389.68766725273,-166437.18997909478,297.2474008333505,305.7064969958972,230
491275000,-234497.49917205703,64687.24031106755,-169810.25886098947,294.0542268284398,301.2081045202656,230
491280000,-233447.79705036595,65695.55456418986,-167752.24248617608,298.6378057023595,303.5560744853685,230
