#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
625000,-232258.57411603164,65340.001229431975,-166918.57288659966,297.02153701558706,302.9691792695586,214
630000,-233085.06592779816,65506.92196097621,-167578.14396682195,297.7803226187422,302.427211027132,214
635000,-232680.4076386653,66081.0770210689,-166599.3306175964,300.3903075471965,301.85366192182903,214
640000,-231794.21534541063,65339.41380786372,-166454.8015375469,297.01886672397706,303.79462101369677,214
645000,-232775.9196700314,65663.67409056675,-167112.24557946465,298.49288395307656,301.92639266933327,214
650000,-232742.6130698498,65385.42119068053,-167357.19187916926,297.22800635209444,300.54353200916967,214
655000,-232773.43718897412,66077.00253680657,-166696.43465216755,300.3717858215251,302.40907400110996,214
660000,-231652.3183670023,65470.98779837275,-166181.33056862955,297.61697367464944,303.9300664421138,214
665000,-232521.71135849226,65099.18204104877,-167422.5293174435,295.92682498420425,303.6820635542115,214
670000,-232677.62935397145,65046.17321060122,-167631.45614337025,295.68585828694864,302.0442620747213,214
675000,-232314.37295734137,65505.853913310275,-166808.5190440311,297.7754675046716,302.718117974764,214
680000,-231998.91554820118,66065.6694465907,-165933.24610161048,300.3202680405072,301.7779962306928,214
685000,-232330.85367205972,66051.45152039116,-166279.40215166856,300.25563641801705,302.38417668043456,214
690000,-232994.64679164463,66106.17073090747,-166888.47606073716,300.5043781337505,301.2232960217628,214
695000,-233415.34585006838,65284.26467797527,-168131.0811720931,296.7681706876084,301.39789557764954,214
700000,-232467.95077587594,65254.25141959725,-167213.6993562787,296.6317368956502,301.2152854945233,214
705000,-234351.69340757653,66082.72249804216,-168268.97090953437,300.3977875302166,299.24473930161,214
710000,-232501.4454738123,65211.473029119385,-167289.97244469292,296.43727556948386,301.14189887084143,214
715000,-232083.24621045892,66337.76734424295,-165745.47886621597,301.55716633035564,302.2881243620861,214
720000,-233882.32898397138,65411.095332733006,-168471.23365123838,297.3447154581627,299.7933721845561,214
725000,-232862.01184379729,66083.77062649583,-166778.24121730146,300.4025520958493,301.1135194270576,214
730000,-232411.37544302782,65517.867961114855,-166893.50748191297,297.8300807718518,300.17285848050005,214
735000,-232850.30203607306,65618.99221251736,-167231.3098235557,298.28976978342155,300.49715963799594,214
740000,-233052.04630644387,65364.229934275616,-167687.81637216825,297.13167547621066,300.5533947160463,214
745000,-232483.3936464833,65465.40938443795,-167017.98426204536,297.59161540942375,302.64010406730165,214
750000,-232809.40853314963,65373.72688295599,-167435.68165019364,297.17484655427813,299.8184279725764,214
755000,-231473.4475134362,65408.82004677784,-166064.62746665836,297.33437249950276,304.2508002166026,214
760000,-231484.52257004264,66118.84263473807,-165365.67993530456,300.56198187237703,304.06923420282544,214
765000,-231463.88327583415,65947.31462881537,-165516.56864701878,299.7822525947255,304.18484522464735,214
770000,-232743.9258658043,64988.114654694335,-167755.81121110998,295.42193662811957,302.093280573038,214
775000,-231929.27804408805,65903.14451322728,-166026.13353086077,299.58146478671694,301.94750829535286,214
780000,-232225.5296571178,65909.15218203771,-166316.37747508008,299.6087743519202,301.7982368523563,214
785000,-232315.77918126783,66221.70762200025,-166094.07155926758,301.0295838932956,301.1294847141372,214
790000,-232546.37801945582,66122.06244944176,-166424.31557001406,300.57661845477986,302.1937354531059,214
795000,-232806.40414526896,66243.7783857407,-166562.62575952825,301.12991281961865,301.89144023090506,214
800000,-232425.5663278452,65217.71430942509,-167207.85201842012,296.46564708210195,301.66249785130196,214
805000,-231793.79040477262,65517.37442438025,-166276.41598039237,297.82783726042345,302.16948547025424,214
810000,-232821.41920113307,65252.41118493199,-167569.00801620109,296.62337158621557,300.49831667358535,214
815000,-232688.80610697204,66331.84162462433,-166356.9644823477,301.5302292884834,302.48478306217714,214
820000,-231575.98414909816,65865.24604405393,-165710.73810504423,299.40918652910136,303.923905648154,214
825000,-232127.30433040997,65688.57706093765,-166438.72726947232,298.60608747919593,302.990915393908,214
830000,-231954.90224662307,65443.40368128475,-166511.49856533832,297.4915822344821,302.7886783288762,214
835000,-231891.51885941415,65303.91422086768,-166587.60463854647,296.85749326675966,303.74881715925363,214
840000,-232908.57980298647,65857.37322406025,-167051.2065789262,299.3733983893529,301.809387339296,214
845000,-232883.8705681793,65804.63994617306,-167079.23062200623,299.1336842945379,301.11593283143173,214
850000,-231481.03419105383,64944.71093870653,-166536.3232523473,295.22463270720874,302.9001306208054,214
855000,-232369.3016587065,65929.05543969257,-166440.24621901393,299.699250263598,300.331171818935,214
860000,-232821.082535272,65732.05427416123,-167089.02826111077,298.80372550267066,301.9021140349502,214
865000,-232262.2589066103,65225.32163308321,-167036.9372735271,296.5002283328364,301.7640923128972,214
870000,-232600.975112434,65583.90878684088,-167017.06632559313,298.13028810570296,301.95540086336734,214
875000,-231410.0683112191,66168.1754163538,-165241.8928948653,300.7862380453959,302.5016622933625,214
880000,-232285.1071909084,65885.43498631357,-166399.67220459483,299.50096110130596,302.02891954868045,214
885000,-232545.29744804418,65643.72939182975,-166901.56805621443,298.40221965918744,303.4053917433229,214
890000,-231626.80106620467,64997.588298348244,-166629.21276785643,295.4650017665689,303.0664928361104,214
